# 1000 Genomes NYGC 30x GRCh38 callset (Byrska-Bishop et al. 2022, SNV/INDEL/SV, 3,202 samples)
# as converted to PLINK 2 format by the PLINK 2.0 resources page (cog-genomics.org/plink/2.0/resources).
# First-listed links on that page are this callset; the 2021 preliminary callset shares file names.
# pvar: rsID-annotated "rs_noannot" where the page provides it, else the plain noannot file.
#key	kind	url
chr1	pgen	https://www.dropbox.com/s/k5tul2pe5wytjlz/chr1_hg38.pgen.zst?dl=1
chr1	pvar	https://www.dropbox.com/scl/fi/0y3nyl1922gb3ni4vrgl1/chr1_hg38_rs_noannot.pvar.zst?rlkey=suzj2r41pjguaar2ma73z6lnw&dl=1
chr2	pgen	https://www.dropbox.com/s/nsgqqahbfk4u9r8/chr2_hg38.pgen.zst?dl=1
chr2	pvar	https://www.dropbox.com/s/yac4wj78p9bar9c/chr2_hg38_noannot.pvar.zst?dl=1
chr3	pgen	https://www.dropbox.com/s/q400ppmtps05147/chr3_hg38.pgen.zst?dl=1
chr3	pvar	https://www.dropbox.com/scl/fi/0ykeue1c72t5l46mftynv/chr3_hg38_rs_noannot.pvar.zst?rlkey=0d9g94whig2z0f40qq6trzo14&dl=1
chr4	pgen	https://www.dropbox.com/s/63acikvz57nnc1z/chr4_hg38.pgen.zst?dl=1
chr4	pvar	https://www.dropbox.com/s/biavyl3kqnh1l7b/chr4_hg38_noannot.pvar.zst?dl=1
chr5	pgen	https://www.dropbox.com/s/wg01ye3cn06mm8e/chr5_hg38.pgen.zst?dl=1
chr5	pvar	https://www.dropbox.com/scl/fi/3trhniyvugb1gk8law4ap/chr5_hg38_rs_noannot.pvar.zst?rlkey=9k6te666d02mbefnekvktlq35&dl=1
chr6	pgen	https://www.dropbox.com/s/7l4ozeaze53mlny/chr6_hg38.pgen.zst?dl=1
chr6	pvar	https://www.dropbox.com/scl/fi/10lulcz9cjw955rrp5lc4/chr6_hg38_rs_noannot.pvar.zst?rlkey=cc3x3njk82scatsr2725gotbx&dl=1
chr7	pgen	https://www.dropbox.com/s/qiqiq91gjnlejj5/chr7_hg38.pgen.zst?dl=1
chr7	pvar	https://www.dropbox.com/scl/fi/hcleq1bszqjmzpjscm47p/chr7_hg38_rs_noannot.pvar.zst?rlkey=pyqm2xhp3abd5j32904gtstyo&dl=1
chr8	pgen	https://www.dropbox.com/s/dvtewdfrsa63orj/chr8_hg38.pgen.zst?dl=1
chr8	pvar	https://www.dropbox.com/scl/fi/tc0nxum3umqy46z8pk5wf/chr8_hg38_rs_noannot.pvar.zst?rlkey=u986xnhq2ybbug9hqh7b4lpcd&dl=1
chr9	pgen	https://www.dropbox.com/s/321ercemdimyh8j/chr9_hg38.pgen.zst?dl=1
chr9	pvar	https://www.dropbox.com/scl/fi/ko7tm3zqmoy46q9rty8tk/chr9_hg38_rs_noannot.pvar.zst?rlkey=2zn6tvkvb1d5jgiheuh9lojqf&dl=1
chr10	pgen	https://www.dropbox.com/s/767hbzu2qycx46q/chr10_hg38.pgen.zst?dl=1
chr10	pvar	https://www.dropbox.com/scl/fi/jan6qqw17qpd3k3hcp4qk/chr10_hg38_rs_noannot.pvar.zst?rlkey=gq11tsvqsla37ycqsn90ud1j5&dl=1
chr11	pgen	https://www.dropbox.com/s/jiykipnk2qleubn/chr11_hg38.pgen.zst?dl=1
chr11	pvar	https://www.dropbox.com/scl/fi/d1iljtkfa7n51wj8gokmh/chr11_hg38_rs_noannot.pvar.zst?rlkey=5wp6qtkrlgpabj09mbjte0oiu&dl=1
chr12	pgen	https://www.dropbox.com/s/gqbwlavrm2rfm3m/chr12_hg38.pgen.zst?dl=1
chr12	pvar	https://www.dropbox.com/scl/fi/hmxmf32espmz3aq96xbz2/chr12_hg38_rs_noannot.pvar.zst?rlkey=4ny14x48ngkb2ii07orvvorkg&dl=1
chr13	pgen	https://www.dropbox.com/s/f5xfqfc8g5lh70s/chr13_hg38.pgen.zst?dl=1
chr13	pvar	https://www.dropbox.com/scl/fi/5vkbogy0jth6a5i9h1mvs/chr13_hg38_rs_noannot.pvar.zst?rlkey=d4e9ow7o05waxac8uzlyeob9z&dl=1
chr14	pgen	https://www.dropbox.com/s/lzfa4xnuacwwpus/chr14_hg38.pgen.zst?dl=1
chr14	pvar	https://www.dropbox.com/scl/fi/sjkbu6bjwwsyt8j0s5otv/chr14_hg38_rs_noannot.pvar.zst?rlkey=l9bnpzv9f47ozyzru5vyxt6xv&dl=1
chr15	pgen	https://www.dropbox.com/s/b3zp9p0bb21hrht/chr15_hg38.pgen.zst?dl=1
chr15	pvar	https://www.dropbox.com/scl/fi/8g03djru6fzb7newpykef/chr15_hg38_rs_noannot.pvar.zst?rlkey=eefk8ufbatx7nqwltnhy1cj13&dl=1
chr16	pgen	https://www.dropbox.com/s/bwyzc8qo7jtk8uj/chr16_hg38.pgen.zst?dl=1
chr16	pvar	https://www.dropbox.com/scl/fi/324av0o5wxpppmc24z0uz/chr16_hg38_rs_noannot.pvar.zst?rlkey=nvbbp1nqs6g0rj1scoqox7nxq&dl=1
chr17	pgen	https://www.dropbox.com/s/wnjclot6ksza8ru/chr17_hg38.pgen.zst?dl=1
chr17	pvar	https://www.dropbox.com/scl/fi/citw5fjlsjpkcnus2ync2/chr17_hg38_rs_noannot.pvar.zst?rlkey=8vlt05v0i32boaii1bc299pvb&dl=1
chr18	pgen	https://www.dropbox.com/s/8g92e4f61yqyvas/chr18_hg38.pgen.zst?dl=1
chr18	pvar	https://www.dropbox.com/scl/fi/kh6a3r4952h3952by04em/chr18_hg38_rs_noannot.pvar.zst?rlkey=mz5w5i4hmh67i80jqr0uziblt&dl=1
chr19	pgen	https://www.dropbox.com/s/xfyp8uymflqts78/chr19_hg38.pgen.zst?dl=1
chr19	pvar	https://www.dropbox.com/scl/fi/35ojjv4xc4pize9whtftp/chr19_hg38_rs_noannot.pvar.zst?rlkey=f231kmks01mzz7lqisdc1uk6c&dl=1
chr20	pgen	https://www.dropbox.com/s/mt3aysjwa4j1wq9/chr20_hg38.pgen.zst?dl=1
chr20	pvar	https://www.dropbox.com/scl/fi/pbjhjdy3ixoo8mzf4uiu0/chr20_hg38_rs_noannot.pvar.zst?rlkey=it5v7ubp6c1r78uvbf84dkaa2&dl=1
chr21	pgen	https://www.dropbox.com/s/vg3nm4k6fzu452q/chr21_hg38.pgen.zst?dl=1
chr21	pvar	https://www.dropbox.com/scl/fi/s1dsd4xseyz4e5qcjtpsz/chr21_hg38_rs_noannot.pvar.zst?rlkey=s2kmd4ysvpvpkp9magzaua5tf&dl=1
chr22	pgen	https://www.dropbox.com/s/5lo7f0htegcrwan/chr22_hg38.pgen.zst?dl=1
chr22	pvar	https://www.dropbox.com/scl/fi/h96cduuhxnc8z9s9i28a7/chr22_hg38_rs_noannot.pvar.zst?rlkey=yq8tldoh2vc1plxl5xqi8krmc&dl=1
chrX	pgen	https://www.dropbox.com/s/xgdcmg51xn5jkif/chrX_hg38.pgen.zst?dl=1
chrX	pvar	https://www.dropbox.com/scl/fi/8vrl61dsoo7nqtvmiq9ho/chrX_hg38_rs_noannot.pvar.zst?rlkey=zhtyvv9l1yu4nc0brc3l6eeb0&dl=1
all	pgen	https://www.dropbox.com/s/j72j6uciq5zuzii/all_hg38.pgen.zst?dl=1
all	pvar	https://www.dropbox.com/scl/fi/id642dpdd858uy41og8qi/all_hg38_rs_noannot.pvar.zst?rlkey=sskyiyam1bsqweujjmxqv1h55&dl=1
psam	psam	https://www.dropbox.com/scl/fi/u5udzzaibgyvxzfnjcvjc/hg38_corrected.psam?rlkey=oecjnk4vmbhc8b1p202l0ih4x&dl=1
deg2	king	https://www.dropbox.com/s/4zhmxpk5oclfplp/deg2_hg38.king.cutoff.out.id?dl=1
